recno,Astrom,PNG,OName,GaiaEDR3,Group,RA_ICRS,DE_ICRS,Dang,Gmag,BP-RP,AV,(BP-RP)0,_RA_icrs,_DE_icrs
180," ","PN G005.5+06.1 ",M3-11,4118277495405157632,B,263.8393,-20.9565,0.46,16.56,1.01,1.79,0.09,263.8393,-20.9565
181," ","PN G005.5-02.5 ",M3-24,4065669098214601600,B,271.9746,-25.401,0.65,19.03,1.0,1.52,0.23,271.9746,-25.401
182," ","PN G005.5-02.8 ",MGE005.5423-02.8069,4064902326296851456,B,272.2617,-25.548,1.44,16.08,1.21,2.66,-0.15,272.2617,-25.548
183," ","PN G005.7+04.5 ",PTB5,4117204612583552256,B,265.412,-21.7427,0.28,19.06,0.49,2.02,-0.59,265.412,-21.7427
184," ","PN G005.7-05.3 ",M2-38,4052583840315474560,B,274.8549,-26.5888,0.38,18.79,0.65,1.4,-0.09,274.8549,-26.5888
185," ",PN G005.8+02.2a,MPAJ1750-2248a,4068900524147714688,B,267.5864,-22.8068,0.69,17.49,1.64,2.71,0.33,267.5864,-22.8068
186," ",PN G005.8+02.2b,MPAJ1750-2248b,4068900631529845120,B,267.6098,-22.8143,0.44,19.73,2.2,3.13,0.82,267.6098,-22.8143
187," ","PN G005.8-09.2 ",PPAJ1835-2811,4048631478276339840,A,278.8376,-28.1979,0.59,18.62,-0.09,0.53,-0.38,278.8376,-28.1979
188," ","PN G005.9-09.8 ",CGMW4-2031,4048380549113958272,B,279.4778,-28.4592,1.89,20.26,0.25,0.71,-0.14,279.4778,-28.4592
189," ","PN G006.0+02.8 ",Th4-3,4068994601118701312,B,267.1559,-22.2803,0.47,16.07,1.51,2.51,0.28,267.1559,-22.2803
190," ","PN G006.0+03.1 ",M1-28,4117036254171342208,B,266.909,-22.1051,1.75,19.96,1.16,2.28,0.0,266.909,-22.1051
191," ","PN G006.0+05.6 ",PHRJ1738-2052,4118196406426023168,B,264.6073,-20.8716,0.96,20.24,1.41,1.93,0.49,264.6073,-20.8716
192," ","PN G006.0-02.2 ",StDr102,4065796160446079104,B,272.0152,-24.8499,0.41,17.99,1.52,3.28,-0.13,272.0152,-24.8499
193," ","PN G006.0-03.6 ",M2-31,4064771067972273920,B,273.3169,-25.5015,0.51,17.55,0.66,2.32,-0.57,273.3169,-25.5015
194," ","PN G006.0-41.9 ",PRMG1,6776041195616496256,A,316.4732,-37.1446,0.25,17.01,-0.5,0.14,-0.58,316.4732,-37.1446
195," ","PN G006.1+03.5 ",PHRJ1746-2150,4117103221360980608,B,266.5559,-21.8471,0.43,19.97,1.67,2.44,0.53,266.5559,-21.8471
196," ","PN G006.1+08.3 ",M1-20,4121750616461170432,A,262.2401,-19.265,0.22,16.71,0.49,1.89,-0.52,262.2401,-19.265
197," ","PN G006.2+01.0 ",HaTr8,4069412793495388416,B,268.983,-22.9837,0.12,20.3,3.49,2.45,2.4,268.983,-22.9837
198," ","PN G006.2+06.9 ",PHRJ1734-2000,4121407981117238400,A,263.5571,-20.0141,0.14,19.82,0.66,1.86,-0.33,263.5571,-20.0141
199," ","PN G006.2-09.1 ",CGMW4-1723,4048647245087934336,A,278.9359,-27.8556,1.05,17.06,-0.02,0.57,-0.34,278.9359,-27.8556
200," ","PN G006.3+03.3 ",H2-22,4117062676912301184,B,266.8914,-21.7898,0.24,18.47,1.57,2.6,0.31,266.8914,-21.7898
201," ","PN G006.3+04.4 ",H2-18,4117385040014126592,A,265.8698,-21.1644,0.32,18.07,0.6,2.39,-0.67,265.8698,-21.1644
202," ","PN G006.4+02.0 ",M1-31,4070421084305148928,A,268.1727,-22.3659,0.32,17.56,1.35,3.94,-0.65,268.1727,-22.3659
203,*,"PN G006.4-03.4 ",PHRJ1813-2505,4065348964202561920,B,273.3626,-25.0981,1.19,15.56,0.8,1.86,-0.17,273.3626,-25.0981
204," ","PN G006.5+03.4 ",PNPBOZ29,4118615290396335744,B,266.9544,-21.5396,0.47,19.16,2.31,3.0,1.03,266.9544,-21.5396
205," ","PN G006.5-05.8 ",SB13,4052811886076655872,B,275.7517,-26.0877,2.26,18.21,1.27,1.13,0.74,275.7517,-26.0877
206," ","PN G006.6-01.1 ",MB4475,4066158445235426048,B,271.3118,-23.7859,0.1,20.28,2.59,2.37,1.62,271.3118,-23.7859
207," ","PN G006.7-02.2 ",M1-41,4066262284678758016,A,272.3789,-24.2084,5.28,19.87,2.42,5.8,-0.39,272.3789,-24.2084
208," ","PN G006.8+04.1 ",M3-15,4118854193637373184,A,266.3821,-20.9671,0.29,17.46,1.3,3.1,-0.29,266.3821,-20.9671
209," ","PN G006.8-03.4 ",H2-45,4065373776184045824,A,273.6198,-24.7272,0.12,17.35,0.65,2.09,-0.47,273.6198,-24.7272
210," ","PN G006.8-07.5 ",PPAJ1830-2637,4052020448007206144,B,277.6177,-26.622,1.39,18.55,0.32,0.92,-0.18,277.6177,-26.622
211," ","PN G006.8-08.6 ",Al1,4072763456463216384,B,278.7302,-27.1053,0.97,17.39,0.56,0.99,0.04,278.7302,-27.1053
212," ","PN G006.9+08.1 ",KnJ1731.5-1845,4121885822044187008,B,262.8983,-18.7583,0.17,20.38,1.4,1.73,0.58,262.8983,-18.7583
213," ","PN G006.9-05.1 ",MPAJ1820-2524,4053176240876540544,A,275.2407,-25.4063,1.5,18.12,0.21,1.07,-0.38,275.2407,-25.4063
214,*,"PN G006.9-30.2 ",Fr2-29,6697958587097381248,A,302.4073,-34.5254,0.18,12.48,-0.38,0.25,-0.52,302.4073,-34.5254
215,*,"PN G007.0+06.3 ",M1-24,4120037195044273920,B,264.5483,-19.6272,0.26,15.74,1.01,2.25,-0.16,264.5483,-19.6272
216," ","PN G007.0-06.0 ",H1-66,4052929568083406464,B,276.2389,-25.6985,0.35,19.74,0.49,1.08,-0.08,276.2389,-25.6985
217," ","PN G007.0-06.8 ",Vy2-1,4052110122599119360,B,276.9984,-26.1134,0.36,16.12,0.46,1.1,-0.12,276.9984,-26.1134
218," ","PN G007.1+06.3 ",Kn120,4120037985319136384,B,264.6187,-19.5465,0.37,18.26,1.69,2.18,0.68,264.6187,-19.5465
219," ","PN G007.1+07.4 ",PTB7,4121634308764755328,B,263.6263,-19.0169,0.33,19.84,0.78,1.13,0.21,263.6263,-19.0169
220," ","PN G007.1-05.0 ",PHRJ1820-2510,4053197608418783616,B,275.2453,-25.1715,1.55,19.1,1.08,1.03,0.59,275.2453,-25.1715
221," ","PN G007.2+03.4 ",PTB8,4118662431936461824,A,267.3074,-21.0289,0.6,20.19,0.58,2.16,-0.57,267.3074,-21.0289
222," ","PN G007.3+01.7 ",PHRJ1755-2142,4070562023656796288,B,268.8948,-21.7104,0.88,17.39,2.3,3.77,0.59,268.8948,-21.7104
223," ","PN G007.4+02.5 ",Th4-8,4070651775691846784,B,268.1779,-21.2601,0.28,16.62,1.76,2.94,0.35,268.1779,-21.2601
224," ","PN G007.4+03.1 ",Pa80,4118707992955560448,B,267.677,-20.9928,0.6,20.97,2.47,3.72,0.85,267.677,-20.9928
225," ","PN G007.4-04.6 ",BMPJ1820-2441,4065259560117093760,B,275.0262,-24.6898,0.89,17.36,1.98,1.22,1.47,275.0262,-24.6898
226," ","PN G007.5-05.0 ",BMPJ1822-2449,4053235472777660032,B,275.5434,-24.8313,1.33,19.57,1.33,1.35,0.7,275.5434,-24.8313
227," ","PN G007.6+06.9 ",M1-23,4123152145849693696,B,264.3416,-18.7783,0.22,18.6,0.65,1.52,-0.15,264.3416,-18.7783
228," ","PN G007.7+01.2 ",PHRJ1758-2139,4070762585760235648,B,269.602,-21.6564,16.14,20.78,0.94,8.72,-1.78,269.602,-21.6564
229," ","PN G007.7+03.9 ",PHRJ1748-2016,4118995686969542272,B,267.1143,-20.2754,0.83,20.37,1.29,2.39,0.08,267.1143,-20.2754
230," ","PN G007.7-05.3 ",SB14,4077240663477110912,A,275.9272,-24.7911,0.79,16.51,0.05,0.99,-0.49,275.9272,-24.7911
231," ","PN G007.8-03.8 ",Sa3-128,4065537362954637824,B,274.448,-24.0441,0.19,17.15,1.06,2.01,0.04,274.448,-24.0441
232," ","PN G007.8-04.4 ",H1-65,4065322923848085760,B,275.0368,-24.2515,0.19,14.51,0.87,1.2,0.27,275.0368,-24.2515
233," ","PN G007.9+03.8 ",PHRJ1748-2009,4118998057791972480,B,267.2427,-20.1584,0.52,20.15,2.39,2.83,1.2,267.2427,-20.1584
234,*,"PN G007.9+10.1 ",MaC1-4,4136559350117114496,B,261.6587,-16.8084,0.42,15.55,1.07,0.6,0.79,261.6587,-16.8084
235," ","PN G007.9-04.1 ",PPAJ1819-2405,4065340752368843776,B,274.8332,-24.0848,1.04,19.15,1.19,1.01,0.72,274.8332,-24.0848
236," ","PN G007.9-12.5 ",PHRJ1852-2749,4071869484740939520,A,283.2123,-27.819,0.71,18.96,-0.27,0.6,-0.61,283.2123,-27.819
237," ","PN G008.0+03.9 ",NGC6445,4119025030278036608,A,267.3139,-20.01,1.79,20.54,0.72,2.53,-0.62,267.3139,-20.01
238," ","PN G008.1-04.7 ",M2-39,4089299595925528832,B,275.5048,-24.1778,0.32,14.41,0.72,1.33,0.03,275.5048,-24.1778
239," ","PN G008.2+06.8 ",Hen2-260,4123264059923436672,B,264.739,-18.2933,0.08,13.59,0.73,1.22,0.1,264.739,-18.2933
240," ","PN G008.2-04.8 ",M2-42,4089296950179444864,A,275.6337,-24.1577,0.12,17.23,0.32,1.31,-0.39,275.6337,-24.1577
241," ","PN G008.3+07.1 ",BMPJ1738-1808,4123281583346427264,B,264.5652,-18.1411,2.28,20.48,1.36,1.22,0.8,264.5652,-18.1411
242," ","PN G008.3+09.6 ",PTB26,4124562102059801216,A,262.3053,-16.7955,0.09,16.59,0.19,0.99,-0.35,262.3053,-16.7955
243," ","PN G008.3+14.8 ",Kn41,4139832699312612608,B,257.7919,-13.9593,0.85,20.15,0.6,1.38,-0.13,257.7919,-13.9593
244," ","PN G008.3-01.1 ",M1-40,4069732858757207040,B,272.1082,-22.2811,1.17,18.77,2.13,17.12,-1.84,272.1082,-22.2811
245," ","PN G008.3-05.3 ",PHRJ1824-2416,4077291962704579584,A,276.1804,-24.2752,0.08,18.6,0.15,1.22,-0.52,276.1804,-24.2752
246," ","PN G008.6-02.2 ",PPAJ1813-2233,4066661922835580288,B,273.2946,-22.5577,0.79,19.29,1.56,2.99,0.08,273.2946,-22.5577
247," ","PN G008.6-02.6 ",MaC1-11,4090483254575155968,B,273.7121,-22.7321,0.29,17.85,1.37,2.81,-0.05,273.7121,-22.7321
248," ","PN G008.7+01.8 ",BMPJ1758-2031,4071040624782838272,B,269.5644,-20.5274,1.96,19.99,1.95,2.92,0.61,269.5644,-20.5274
249," ","PN G008.7-04.2 ",PHRJ1821-2324,4089592611531595904,B,275.2868,-23.4023,0.84,19.45,1.64,1.33,1.06,275.2868,-23.4023
250," ","PN G008.8+02.2 ",MGE008.8168+02.2819,4071111096661937920,B,269.2043,-20.1933,5.09,20.66,0.06,3.81,-1.58,269.2043,-20.1933
251," ","PN G008.8+06.2 ",CBF1,4123237018804802176,A,265.6352,-18.1622,0.66,15.03,0.57,1.54,-0.25,265.6352,-18.1622
252," ","PN G008.9+03.7 ",PNPM1-183,4119492494479957760,B,267.9372,-19.3955,0.13,17.38,1.88,2.6,0.7,267.9372,-19.3955
253," ","PN G009.0+00.4 ",GLMP707,4070868963522777856,B,271.0351,-20.9516,0.68,21.27,3.96,20.36,-1.67,271.0351,-20.9516
254," ","PN G009.0+04.1 ",Th4-5,4120268165526590976,A,267.6181,-19.0526,0.39,19.91,1.11,2.65,-0.26,267.6181,-19.0526
255," ","PN G009.0-02.4 ",PHRJ1814-2220,4090688343507223040,A,273.734,-22.3434,0.88,19.69,0.58,2.83,-0.89,273.734,-22.3434
256," ","PN G009.1-02.7 ",PHRJ1816-2222,4090520805520222208,B,274.0824,-22.3804,0.71,18.77,1.3,2.37,0.11,274.0824,-22.3804
257,*,"PN G009.1-03.4 ",PHRJ1818-2239,4090444939099327872,B,274.745,-22.6613,1.92,16.32,1.44,1.72,0.64,274.745,-22.6613
258," ","PN G009.3+02.8 ",Th4-9,4119330243430068480,B,269.0025,-19.4908,0.3,17.1,1.37,2.74,-0.01,269.0025,-19.4908
259," ","PN G009.3+04.1 ",Th4-6,4120281909424954240,A,267.7385,-18.7801,0.36,17.98,0.59,2.2,-0.58,267.7385,-18.7801
260," ","PN G009.3-06.5 ",SB15,4077540142924415360,B,277.811,-23.9681,0.34,14.61,1.67,0.62,1.4,277.811,-23.9681
261,*,"PN G009.4-05.5 ",NGC6629,4089517157442187008,B,276.4269,-23.2029,0.05,12.7,0.49,0.55,0.21,276.4269,-23.2029
262," ","PN G009.4-06.6 ",PPAJ1831-2356,4077538635493652224,B,277.9848,-23.9355,0.27,18.37,0.47,0.92,-0.01,277.9848,-23.9355
263," ","PN G009.4-09.8 ",M3-32,4073399588285893888,A,281.1798,-25.3594,0.39,17.49,0.25,0.94,-0.26,281.1798,-25.3594
264," ","PN G009.6+10.5 ",Abell41,4136835641106850432,A,262.2584,-15.2179,1.24,16.24,0.27,1.1,-0.33,262.2584,-15.2179
265,*,"PN G009.6+14.8 ",NGC6309,4141505881131938560,A,258.5179,-12.9105,0.3,16.05,0.17,1.15,-0.45,258.5179,-12.9105
266," ","PN G009.6-10.6 ",M3-33,4073217997070348032,A,282.0506,-25.4813,0.15,15.82,-0.23,0.69,-0.61,282.0506,-25.4813
267," ","PN G009.7-03.9 ",PPAJ1822-2223,4089816327689711104,B,275.5353,-22.3854,0.25,15.7,0.8,1.73,-0.1,275.5353,-22.3854
268," ","PN G009.9-04.3 ",PHRJ1824-2226,4089759501046213760,B,276.0304,-22.4373,2.59,19.68,1.65,1.29,1.08,276.0304,-22.4373
269," ","PN G010.0-02.0 ",MPAJ1815-2113,4090916943199396864,B,273.9041,-21.2226,0.29,19.52,2.15,3.87,0.33,273.9041,-21.2226
270," ","PN G010.1+00.7 ",NGC6537,4095023378533856256,B,271.3046,-19.8433,1.16,16.8,1.18,15.34,-1.95,271.3046,-19.8433
271," ","PN G010.1+04.4 ",PTB30,4120480332598055296,B,267.9436,-18.0693,0.47,18.38,0.84,1.98,-0.2,267.9436,-18.0693
272," ","PN G010.1+07.4 ",Sab21,4124119475566179840,A,265.2695,-16.4137,0.3,18.35,0.41,1.33,-0.31,265.2695,-16.4137
273," ","PN G010.2+00.3 ",PHRJ1806-1956,4094964722169844736,B,271.7283,-19.9364,10.18,20.91,2.42,20.4,-1.89,271.7283,-19.9364
274," ","PN G010.4+04.4 ",DPV1,4144514355452503808,B,268.1362,-17.6863,2.54,20.09,1.57,1.83,0.73,268.1362,-17.6863
275," ","PN G010.4+04.5 ",M2-17,4144530534542446976,B,268.0201,-17.6017,0.52,18.73,0.67,1.52,-0.14,268.0201,-17.6017
276," ","PN G010.5+02.8 ",PaJ1758.5-1823,4143630382478662144,A,269.6479,-18.3961,0.1,20.2,1.85,4.21,-0.25,269.6479,-18.3961
277," ","PN G010.5-04.0 ",PHRJ1824-2144,4090240739301894656,B,276.0552,-21.7459,1.07,19.9,2.07,2.14,1.15,276.0552,-21.7459
278," ","PN G010.6+02.4 ",MPAJ1800-1834,4143424838162995328,A,270.0344,-18.5761,0.58,19.5,1.5,3.86,-0.47,270.0344,-18.5761
279," ","PN G010.6+03.2 ",Th4-10,4143700407610635904,B,269.277,-18.1114,0.49,17.41,1.11,2.12,0.03,269.277,-18.1114
280," ","PN G010.7+07.4 ",Sa2-230,4124912429604974592,A,265.5084,-15.9353,0.42,18.83,0.32,1.17,-0.32,265.5084,-15.9353
281," ","PN G010.7-06.7 ",Pe1-13,4077923838119276288,A,278.7154,-22.7215,0.68,18.27,0.16,0.94,-0.35,278.7154,-22.7215
282,*,"PN G010.8-01.8 ",NGC6578,4094354493205707392,A,274.0688,-20.4508,0.16,15.44,0.86,2.06,-0.22,274.0688,-20.4508
283," ","PN G011.0+06.2 ",M2-15,4147907448379074304,A,266.7269,-16.2903,0.18,18.44,0.57,1.7,-0.34,266.7269,-16.2903
284," ","PN G011.0-02.9 ",PTB31,4091282148480443648,B,275.2243,-20.8034,0.06,19.42,1.9,3.7,0.1,275.2243,-20.8034
285," ","PN G011.0-05.1 ",M1-47,4090264623539239936,B,277.2964,-21.7817,0.66,15.35,-0.22,1.1,-0.83,277.2964,-21.7817
286," ","PN G011.1+11.5 ",M2-13,4138416975017165440,B,262.1425,-13.4391,0.16,18.19,0.66,1.24,0.01,262.1425,-13.4391
287," ","PN G011.1-07.9 ",SB17,4079151550306831488,B,280.083,-22.9082,0.01,17.27,2.03,0.5,1.82,280.083,-22.9082
288," ","PN G011.2-02.7 ",Sab86,4091353895938619392,A,275.149,-20.5074,2.09,20.55,2.76,6.52,-0.35,275.149,-20.5074
289," ","PN G011.3+02.6 ",PNPM1-199,4143751363058950144,B,270.18,-17.7553,0.14,19.28,2.04,3.26,0.53,270.18,-17.7553
290,*,"PN G011.3+02.8 ",Th4-11,4143767477777335296,B,270.0366,-17.6787,0.43,14.77,1.81,2.12,0.87,270.0366,-17.6787
291," ","PN G011.3-09.1 ",PTB32,4078149826461265920,B,281.292,-23.3592,0.04,18.36,0.63,0.95,0.14,281.292,-23.3592
292," ","PN G011.3-09.4 ",My121,4078224382749921024,B,281.6463,-23.4468,0.09,13.21,0.78,0.99,0.27,281.6463,-23.4468
293," ","PN G011.4-07.3 ",SB18,4079260195784967040,A,279.6793,-22.4041,0.51,17.54,0.03,1.03,-0.54,279.6793,-22.4041
294," ","PN G011.5+03.7 ",PTB15,4144606022906904832,B,269.2735,-17.1861,1.84,17.69,1.24,2.14,0.18,269.2735,-17.1861
295,*,"PN G011.7-00.6 ",NGC6567,4094749870714268544,A,273.4382,-19.0762,0.05,14.22,0.05,0.87,-0.43,273.4382,-19.0762
296," ","PN G011.7-06.6 ",M1-55,4079529404360162176,B,279.141,-21.8174,0.26,13.94,0.65,0.9,0.19,279.141,-21.8174
297,*,"PN G011.7-41.3 ",Fr2-46,6780966389233959168,A,316.4484,-32.8312,0.17,13.44,-0.46,0.24,-0.59,316.4484,-32.8312
298,*,"PN G011.8+03.7 ",PHRJ1757-1649,4144686669576773888,B,269.4151,-16.8221,0.02,15.6,1.19,1.02,0.71,269.4151,-16.8221
299," ","PN G011.8-05.0 ",PTB34,4091824315157913856,A,277.5331,-21.0849,0.66,18.62,0.49,1.66,-0.4,277.5331,-21.0849
300," ","PN G011.9+04.2 ",M1-32,4144898115027496320,B,269.0833,-16.4845,0.14,15.61,1.0,2.18,-0.13,269.0833,-16.4845
301," ","PN G011.9-07.4 ",Kn78,4079369008737614336,A,279.9752,-22.0529,1.52,18.79,0.1,0.78,-0.32,279.9752,-22.0529
302," ","PN G012.0+07.4 ",PTB16,4149099868648020864,B,266.2808,-14.8898,0.38,19.74,0.35,0.87,-0.12,266.2808,-14.8898
303," ","PN G012.0-11.9 ",Kn79,4075259652729340800,A,284.4433,-23.8277,0.1,15.43,-0.17,0.46,-0.43,284.4433,-23.8277
304," ","PN G012.1-02.1 ",PHRJ1820-1926,4094535397244099840,B,275.0734,-19.4432,0.25,20.28,2.11,3.86,0.29,275.0734,-19.4432
305,*,"PN G012.1-11.2 ",CGMW4-3783,4075514915539028224,A,283.7703,-23.4702,0.13,15.27,-0.11,0.64,-0.46,283.7703,-23.4702
306," ","PN G012.2-01.9 ",PHRJ1819-1916,4094587559645723648,A,274.8421,-19.2691,3.14,20.56,1.05,2.62,-0.32,274.8421,-19.2691
307," ","PN G012.3-00.1 ",FBP2,4095675285854761472,B,273.3003,-18.3355,1.2,20.01,3.0,54.81,-3.07,273.3003,-18.3355
308," ","PN G012.4+17.8 ",Pa12,4335757356324800512,A,257.4109,-9.0115,0.09,17.1,0.45,1.56,-0.39,257.4109,-9.0115
309," ","PN G012.5+04.3 ",Sab10,4145310023878030336,B,269.2938,-15.9382,0.77,19.99,1.88,1.91,1.05,269.2938,-15.9382
310," ","PN G012.5-09.8 ",M1-62,4078679481810532224,A,282.6085,-22.573,0.28,17.1,-0.27,1.06,-0.85,282.6085,-22.573
311," ","PN G012.6-02.7 ",M1-45,4096032936429271296,B,275.7833,-19.2849,0.08,16.07,1.47,2.71,0.12,275.7833,-19.2849
312," ","PN G012.8+09.6 ",Kn42,4161759920423904640,A,264.6863,-12.9556,0.2,19.06,0.25,1.22,-0.42,264.6863,-12.9556
313," ","PN G012.8-04.7 ",MPAJ1831-2002,4092038406321878784,A,277.8456,-20.0356,0.64,16.6,0.46,1.52,-0.35,277.8456,-20.0356
314," ","PN G012.9+02.4 ",MPAJ1804-1633,4144322280166446976,B,271.2205,-16.5642,0.69,20.29,1.74,3.88,-0.2,271.2205,-16.5642
315," ","PN G012.9+02.6 ",MPAJ1804-1627,4144373854134248960,B,271.0438,-16.4624,0.52,18.27,1.78,1.32,1.21,271.0438,-16.4624
316," ","PN G013.3+01.1 ",Sh2-42,4144080013950472320,A,272.5584,-16.7946,6.4,20.97,2.76,8.03,-0.88,272.5584,-16.7946
317," ","PN G013.3+32.7 ",Sn1,4407638066429175424,A,245.2683,-0.2696,0.36,14.67,-0.43,0.3,-0.6,245.2683,-0.2696
318," ","PN G013.4+08.8 ",PHRJ1742-1256,4161909453988004224,B,265.7416,-12.9464,1.45,20.98,0.69,1.19,0.07,265.7416,-12.9464
319," ","PN G013.4-02.9 ",PHRJ1825-1839,4096168519889437952,B,276.3978,-18.6625,1.2,19.83,1.74,2.55,0.55,276.3978,-18.6625
320," ","PN G013.7-04.7 ",PTB37,4092855824530810496,B,278.1443,-19.2354,0.3,18.8,0.68,1.57,-0.14,278.1443,-19.2354
321," ","PN G013.7-10.6 ",Y-C2-32,4084782767771399040,A,283.8778,-21.8278,0.27,16.02,-0.13,0.64,-0.49,283.8778,-21.8278
322,*,"PN G013.8-02.8 ",SaWe3,4096221021593115264,B,276.5153,-18.2096,0.07,16.49,1.37,0.67,1.08,276.5153,-18.2096
323," ","PN G013.8-07.9 ",PC21,4080123484141978752,A,281.397,-20.5832,0.02,17.73,0.19,0.81,-0.25,281.397,-20.5832
324," ","PN G014.0+04.8 ",PTB19,4148581650775253120,A,269.6085,-14.4232,0.57,18.53,1.41,3.33,-0.29,269.6085,-14.4232
325,*,"PN G014.0-02.5 ",Tan2,4096278711670069248,B,276.3213,-17.9413,0.29,16.07,1.66,2.35,0.56,276.3213,-17.9413
326," ","PN G014.0-05.5 ",V-V3-5,4092472408529260672,B,279.1348,-19.3242,0.07,17.12,0.44,0.99,-0.09,279.1348,-19.3242
327," ","PN G014.1+02.7 ",PaJ1806.3-1520,4146705269757414272,A,271.5849,-15.3354,0.15,19.06,1.57,3.52,-0.21,271.5849,-15.3354
328," ","PN G014.2+00.2 ",MSX6CG014.2361+00.2138,4097646121790662784,A,273.8935,-16.4745,0.13,20.84,4.64,26.32,-1.85,273.8935,-16.4745
329," ","PN G014.2+03.8 ",PM1-205,4146998736283238656,B,270.6594,-14.7011,1.09,16.43,1.63,2.88,0.23,270.6594,-14.7011
330," ","PN G014.2-07.3 ",M3-31,4080221267663409408,B,281.0074,-19.9147,0.25,14.74,0.44,0.99,-0.09,281.0074,-19.9147
331," ","PN G014.3-07.2 ",PTB40,4080225974947722752,B,280.9159,-19.8091,0.22,17.28,0.24,1.17,-0.4,280.9159,-19.8091
332," ","PN G014.4+06.9 ",Pa81,4149764008058852352,B,267.9769,-12.9712,0.8,20.08,1.57,2.69,0.26,267.9769,-12.9712
333,*,"PN G014.4-06.1 ",SB19,4092512742510443136,A,279.9169,-19.2368,0.43,16.05,0.29,1.24,-0.39,279.9169,-19.2368
334," ","PN G014.5-07.3 ",PNPM1-254,4080250924463314944,A,281.1222,-19.7126,0.76,17.38,0.45,1.24,-0.21,281.1222,-19.7126
335," ","PN G014.6+01.0 ",PHRJ1813-1543,4145786932745283584,B,273.3708,-15.7222,1.06,18.87,3.54,4.53,1.74,273.3708,-15.7222
336," ","PN G014.7+04.8 ",PHRJ1759-1350,4150150211508171648,B,269.9387,-13.8387,4.72,20.88,1.38,2.65,0.06,269.9387,-13.8387
337," ","PN G014.7-11.8 ",SaWe4,4081863628798972032,B,285.5735,-21.4478,0.92,18.8,0.45,0.35,0.27,285.5735,-21.4478
338,*,"PN G014.8-08.4 ",SB20,4085994773196437888,A,282.3508,-19.8704,0.11,14.99,-0.04,0.62,-0.38,282.3508,-19.8704
339,*,"PN G014.8-25.6 ",HaWe14,6754240246564390784,A,299.5545,-26.4712,0.29,18.51,-0.39,0.32,-0.57,299.5545,-26.4712
340," ","PN G014.9+06.4 ",K2-5,4151221445057926784,B,268.6101,-12.8086,3.29,20.77,0.89,2.05,-0.18,268.6101,-12.8086
341," ","PN G014.9-03.1 ",SaSt3-166,4096653198454533888,B,277.2969,-17.4537,0.14,17.41,1.12,2.07,0.07,277.2969,-17.4537
342," ","PN G015.1+02.8 ",MPAJ1807-1425,4146916238566202368,B,271.9132,-14.4249,0.49,19.89,1.48,3.36,-0.22,271.9132,-14.4249
343," ","PN G015.3-11.0 ",Kn80,4084972983264857344,A,284.9675,-20.5802,0.71,19.0,-0.33,0.51,-0.61,284.9675,-20.5802
344,*,"PN G015.4+05.6 ",Pa44,4150564551275781120,B,269.5668,-12.7991,0.17,14.99,1.34,2.35,0.18,269.5668,-12.7991
345,*,"PN G015.4-04.5 ",M1-53,4093677434572665216,A,278.9515,-17.6024,0.36,15.43,0.32,1.45,-0.46,278.9515,-17.6024
346," ","PN G015.5+02.8 ",BMPJ1808-1406,4146962654265880064,A,272.1462,-14.1119,0.31,19.12,0.24,3.4,-1.36,272.1462,-14.1119
347," ","PN G015.5-00.0 ",PHRJ1818-1526,4098119397123945856,B,274.7454,-15.4396,4.45,20.75,2.05,29.03,-2.17,274.7454,-15.4396
348," ","PN G015.9+01.6 ",StDr31,4146520380019680256,A,273.4781,-14.2854,2.86,20.7,2.82,8.48,-0.95,273.4781,-14.2854
349," ","PN G015.9+03.3 ",M1-39,4147559379838377344,B,271.878,-13.48,0.26,16.46,1.83,3.22,0.29,271.878,-13.48
350," ","PN G016.0+13.5 ",Abell42,4167707586821183360,A,262.8711,-8.3194,0.25,19.76,0.65,1.93,-0.38,262.8711,-8.3194
351," ","PN G016.0-07.6 ",SB21,4098431349179300224,A,282.0461,-18.4935,0.01,18.07,-0.01,0.57,-0.32,282.0461,-18.4935
352," ","PN G016.1+07.7 ",PTB20,4163729038353275520,A,268.0626,-11.1769,0.06,19.58,0.86,2.89,-0.65,268.0626,-11.1769
353," ","PN G016.1-04.7 ",M1-56,4099723653388696320,A,279.4428,-17.0963,0.38,16.19,0.34,1.5,-0.47,279.4428,-17.0963
354," ","PN G016.3-02.3 ",PHRJ1828-1549,4103148941329438208,A,277.2324,-15.8216,0.57,18.78,0.94,2.23,-0.23,277.2324,-15.8216
355," ","PN G016.4-00.9 ",PHRJ1824-1505,4098184714982081536,B,276.0086,-15.092,1.94,20.26,2.23,2.96,0.94,276.0086,-15.092
356,*,"PN G016.4-01.9 ",M1-46,4103910524954236928,B,276.9847,-15.5485,0.29,12.84,0.77,1.34,0.07,276.9847,-15.5485
357," ","PN G016.6+07.0 ",PTB21,4152060956537250048,B,268.9704,-11.0945,5.75,20.14,1.98,2.25,1.0,268.9704,-11.0945
358," ","PN G016.7-01.8 ",MPAJ1828-1516,4103933580261453568,A,277.0108,-15.2732,1.8,19.35,2.1,6.41,-0.91,277.0108,-15.2732
359," ","PN G016.7-02.9 ",Pa107,4103116535737265280,B,278.0227,-15.7227,3.0,19.67,1.63,2.92,0.2,278.0227,-15.7227
360," ","PN G016.7-07.3 ",SB22,4098926576110700160,B,282.1268,-17.7321,0.78,19.47,0.45,0.85,0.0,282.1268,-17.7321
